Above Average;None;6;Gain + 1 in any stat, maximum of +3.
Antagonizing Aura;Reach "Annoyance" Status with at least three other characters;5;Gain +1 to two of the following: Brains, Social, Brawn, or Intuition. You also gain the move **Intimidate Someone**.\n\n**Intimidate Someone** (Brains or Social vs. Intuition)\nYou try to intimidate someone to get them to do something.\n\n**Win by 3 or more:** *The target is intimidated, and does what you ask with no further questions.*\n**Win by less than 3:** *The target is intimidated, but still needs a bit of extra motivation to do what you want.* Give them a solid reason to obey your order, and they will do their best to do as such.\n**Loss:** *The target character can do as they please with no consequence. You aren’t intimidating at all.* In fact, you might even come off as adorable.\n	
Animal Lover;Intuition +1;2;Animals like you, and you have an easy time getting along with otherwise hostile creatures.
Athlete;Brawn +1;1;You have an easy time using various sports equipment. You deal an extra 1 damage when using athletic equipment as a weapon. You get to choose one piece of athletic equipment to have in your dorm room, approved by the HM.
Attractive Features;None;2;You’re generally considered to be an attractive person by others. When you flirt with someone with the capacity to be attracted to you, roll 2d6. On a twelve, you give them +1 Hope or +1 Despair, your choice. You may redeem this boon once per chapter.
Bitter Guile;Reach "Annoyance" Status with at least three other characters;5;You hold a bit of spite towards people you have a negative relationship with. You get +1 bonus to lying to people you have a negative relationship with (maximum of +4).
Bribe Expert;Brains or Intuition +2;5;Everyone has a price. And you’re pretty good at guessing them. You acquire the move **Bribe Assessment**.\n\n**Bribe Assessment** (Brains or Intuition Standard Roll)\nYour try to assess what materials or favors it would take for someone to do what you want.\n\n**Critical Success (12+):** *You figure out something the target wants. And a method of acquiring it without too much trouble.*\n__Choose one of the following perks:__\n• Take +1 Hope.\n• You think of someone that could help you get what you need.\n• You think of precautions to take that will make acquiring what you need safe.\n• You think of a place to give your target their desired item secretly.\n**Complete Success (10-11):** *You figure out something your target wants, and a method of acquiring it without too much trouble.*\n**Mixed Success (7-9):** *You manage to figure out something your target wants.* However, it would be very difficult or dangerous to get.\n**Failure (1-6):** *You have no idea what they want.* You just can’t get a read on this person. You lose a level of relationship with them by acting suspicious and shady around them. Your ulterior motives are easily seen by your would-be target.
Chef;None;2;You’re fluent in the culinary arts. When you make someone else a meal, roll 2d6. If you get a 12, they gain +1 hope. You may do this once to one character per chapter.
Comic Relief Klutz;None;2;When you get hurt, at least non-lethally, it’s more funny than it is upsetting. Once per chapter, you may make a fool of yourself in front of others, and grant them +1 Hope.
Contagious Fortune;Ultimate Lucky Student;7;Your luck is so powerful, it can influence the fate of others. Once per chapter, you may grant a +2 bonus to a failed roll made by another character.
Contrary;None;4;You gain despair when you’d normally gain hope, and vice versa. This applies to skills as well.
